작성일,종목명,종목코드,제목,적정가격,평가의견,작성자,작성기관,기업정보,첨부파일,현재가격
2025-11-13,한국가스공사,036460, 예상 수준의 실적 예상 수준의 실적 예상 수준의 실적 ,"59,000",Buy,황성현,유진투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=036460&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644757,41000
2025-11-13,롯데케미칼,011170, 턴어라운드 국면의 업사이드 리스크 턴어라운드 국면의 업사이드 리스크 턴어라운드 국면의 업사이드 리스크 ,"115,000",Buy,황성현,유진투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=011170&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644755,80000
2025-11-13,교촌에프앤비,339770, 3Q25 Review 소비쿠폰 및 성수기 수혜 3Q25 Review 소비쿠폰 및 성수기 수혜 3Q25 Review 소비쿠폰 및 성수기 수혜 ,"6,300",Buy,박종선,유진투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=339770&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644754,4465
2025-11-13,JYP Ent.,035900, JYP Ent 기선을 제압하는 고연차 성과 JYP Ent 기선을 제압하는 고연차 성과 기선을 제압하는 고연차 성과 ,"100,000",Buy,이현지,유진투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=035900&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644753,67800
2025-11-13,한국가스공사,036460, 배당은 이어지겠지만 배당은 이어지겠지만 3Q25 Review 영업이익 시장 기대치 20 상회 ,"57,000",Buy,송유림,한화투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=036460&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644751,41000
2025-11-13,롯데케미칼,011170, 여전히 부진하나 기대감은 높아지는 중 여전히 부진하나 기대감은 높아지는 중 3분기 정기보수 효과 제거되며 손익 개선 4분기 재차 적자 확대 전망 ,"100,000",Buy,이용욱,한화투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=011170&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644749,80000
2025-11-13,JYP Ent.,035900, JYP Ent 어쨌거나 효율화는 진행 중 JYP Ent 어쨌거나 효율화는 진행 중 3Q25 Review 영업이익 컨센서스 하회 스키즈 트와이스 엔믹스 그리고 블루개러지 ,"110,000",Buy,박수영,한화투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=035900&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644747,67800
2025-11-13,SGC에너지,005090, NDC목표 상향으로 수혜 전망 NDC목표 상향으로 수혜 전망 NDC목표 상향으로 수혜 전망 ,"34,000",매수,나민식,SK증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=005090&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644746,23400
2025-11-13,펄어비스,263750, 이젠 출시일까지 잘 도달하는 것이 목표 이젠 출시일까지 잘 도달하는 것이 목표 이젠 출시일까지 잘 도달하는 것이 목표 ,0,중립,남효지,SK증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=263750&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644745,38550
2025-11-13,파크시스템스,140860, 3Q25 Review 과도한 낙폭 속 기회 3Q25 Review 과도한 낙폭 속 기회 3Q25 Review 과도한 낙폭 속 기회 ,"300,000",Buy,차용호,LS증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=140860&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644743,248000
